bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_ses-01_task-mid_run-01_bold	0.0015065476190476192	0.013895339265873016	1	37.73343939805169	1.1273395047117303	1.0128545843339953	0.5432	5578.8003	0.19392680643811944	222	44.04761904761905	2.1069460966858817	1.9839898306589563	2.1863360448523745	2.150512414546314	0.0138144	0.01114974170923233	0.06753194332122803	504	86	86	60	3.8952735424206013	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	24.5105	5.6333	22.2384	5.0	325571.0	1.0	106.0	41.4525	2.3466	59.2835	335.4067	340.0	118189.0	156.0	467.0	87.2849	41.85960375901777
sub-01_ses-01_task-mid_run-02_bold	0.0008144578313253013	0.012831407128514058	7	36.93202676913479	1.1156179935814885	1.0103996985110664	0.5398	6144.5806	0.1887191368015544	229	45.98393574297189	2.080737351921545	1.952019554641436	2.1617550856997028	2.128437415423496	0.0124787	0.012287495657801628	0.06803550571203232	498	86	86	60	3.9088065529144003	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	25.0565	4.3704	21.8726	4.0	326700.0	1.0	105.0	41.4053	2.4041	58.8754	335.5967	340.0	117060.0	158.0	466.0	86.9827	43.55548123084009
sub-01_ses-01_task-tom_bold	0.040200428790199076	0.062412466906584994	2	37.137176390966296	1.3102234737116574	1.499077320291411	0.5311	8055.8569	0.19505530580803374	287	43.9509954058193	2.1974763483632387	2.0036111805260686	2.2286137916830646	2.360204072880583	0.00578598	0.018770985305309296	0.07239612191915512	653	86	86	60	4.104691821765928	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	24.4813	4.3139	20.6166	4.0	329751.0	1.0	102.0	40.1829	2.5377	56.0846	336.6559	341.0	114009.0	168.0	460.0	83.0753	25.235499935224652
sub-02_ses-01_task-mid_run-01_bold	0.007660039682539683	0.05681458710317461	1	36.99805906624257	1.1548672893836978	1.017971433916501	0.5278	7648.4663	0.14103347789821472	88	17.46031746031746	2.3838970900118466	2.2025883671997506	2.515515499537864	2.433587403297925	0.0118163	0.00037048818194307387	0.06111261621117592	504	86	86	60	3.9027677983488975	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	28.5126	4.236	20.3666	4.0	328873.0	1.0	96.0	39.7209	2.1617	63.3871	346.6651	359.0	114887.0	141.0	467.0	91.9856	25.72503509768285
sub-02_ses-01_task-mid_run-02_bold	0.0014621471172962229	0.02364346998011928	2	33.891619765876534	1.1131580115139448	0.9753374443027885	0.5219	8564.1094	0.11782869587837574	47	9.343936381709742	2.2489139567770624	2.1227670460382213	2.406395745744975	2.217579078547991	0.0141677	0.003069094382226467	0.06528056412935257	503	86	86	60	3.8751861525117244	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	30.2134	4.1737	20.1086	4.0	331028.0	1.0	98.0	40.7731	2.2043	63.861	347.8165	359.0	112732.0	143.0	471.0	92.6403	36.13503934070468
sub-02_ses-01_task-tom_bold	0.021380137404580155	0.09267540290076336	0	36.91188601700308	1.0743605592813448	0.973873048149847	0.5309	6625.543	0.15004817247111277	126	19.236641221374047	2.486364574105903	2.2737261973562597	2.5811301284445456	2.6042373965169032	0.00947507	-0.001236469834111631	0.059919510036706924	655	86	86	60	3.9335223968699333	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	23.2797	4.312	21.2138	4.0	329539.0	1.0	98.0	39.6283	2.1246	63.0932	346.4518	359.0	114221.0	144.0	466.0	91.2664	21.065938849933445
sub-03_ses-01_task-mid_run-01_bold	0.0005827326732673267	0.01702666025742574	0	39.81771150472221	1.3160588710317447	0.995063639761905	0.5364	6227.79	0.07368267907068529	8	1.5841584158415842	2.100153283437441	1.9364727659382177	2.238528835498893	2.1254582488752107	0.0290987	0.007718114648014307	0.07085954397916794	505	86	86	60	3.8609665584816875	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	26.8876	5.8306	23.1847	5.0	328247.0	1.0	111.0	44.4749	2.4508	60.9893	353.18	362.0	115513.0	143.0	482.0	93.7585	42.128981673158705
sub-03_ses-01_task-mid_run-02_bold	0.0007444554455445545	0.013498082732673267	0	41.566901895872974	1.3736354009920637	1.0053458095238104	0.5444	4748.7441	0.06278378970995128	3	0.594059405940594	2.1099276237847255	1.9510426619033712	2.2508944606704646	2.12784574878034	0.0257387	0.0018243330996483564	0.06721380352973938	505	86	86	60	3.788956911308364	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	25.408	5.8658	24.507	5.0	326312.0	1.0	114.0	44.9479	2.3329	63.0708	351.7621	362.0	117448.0	136.0	483.0	95.5404	45.092298133298755
sub-03_ses-01_task-tom_bold	0.0005294198473282443	0.012620989160305345	0	41.48386339305806	1.3711419973853216	1.0045816711620787	0.5446	4722.9067	0.06117822092893202	1	0.15267175572519084	2.0979656558602247	1.9430521802766365	2.2382032045862044	2.1126415827178326	0.0186635	0.001777549390681088	0.06775820255279541	655	86	86	60	3.760544902316363	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	25.389	5.8602	24.5061	5.0	326288.0	1.0	114.0	44.8362	2.3134	62.1912	349.7556	360.0	117472.0	132.0	481.0	95.7304	46.77703160594683
sub-04_ses-01_task-mid_run-01_bold	0.0007773161033797217	0.01802405745526839	2	30.74575291565738	1.0893840049402403	0.9915394182270918	0.5094	5486.6128	0.10349737479767246	20	3.9761431411530817	2.2908964294868066	2.278568913493675	2.4449579603667866	2.1491624145999584	0.00976322	0.00022385825286619365	0.05639941617846489	503	86	86	60	3.6270304384606966	0.800000011920929	2.3953499794006348	2.3953499794006348	2.4000000953674316	31.4652	5.1847	21.8236	5.0	343249.0	1.0	102.0	41.6641	1.9039	55.7317	331.0085	351.0	100511.0	98.0	446.0	96.7729	43.624584667151794
