trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0415145	0.0356
0.0018	-0.0438	-0.0016	0.00035604716740684323	7.155849933176751e-05	-9.075712110370512e-05	1.20594656	32.84650803	1.05651109	0.07311813939211577	0.0372928	0.02587
0.0016	-0.031	0.0156	0.0005358160803622592	3.316125578789226e-05	-4.886921905584123e-05	1.13867509	31.01422882	0.98053091	0.04320270292735776	0.0346515	0.01988
-0.0015	-0.024	0.0306	0.0004363323129985824	-5.235987755982988e-06	-6.108652381980153e-05	1.15017831	31.32754135	0.98177092	0.032604915783575605	0.0340232	0.01817
-0.0008	-0.02	0.0264	0.000450294947014537	0.00010297442586766544	3.4906585039886588e-06	1.11708319	30.42612648	0.96975673	0.018237511498169656	0.033666	0.01752
-0.0015	0.0048	0.0466	0.00013264502315156904	0.0001832595714594046	0.00016231562043547262	1.07577336	29.30096436	0.9682014	0.07353800156930956	0.0337956	0.01731
0.0005	-0.0006	0.0375	-1.2217304763960308e-05	0.00019024088846738194	0.00027750735106709843	0.98775965	26.90372658	0.9238162	0.029851768777756627	0.0353024	0.01897
-0.0015	-0.0559	0.0303	0.0002844886680750757	0.00020594885173533088	0.00016406094968746698	0.99287927	27.04316902	0.96105488	0.0857930168743308	0.0345493	0.01832
0.0003	-0.0282	0.0323	0.00014137166941154068	0.00027750735106709843	0.00015009831567151235	1.05360353	28.69712257	0.96143593	0.042931906600562855	0.036554	0.01971
0.0002	-0.0142	0.0275	0.0004258603374866164	0.000158824961931484	0.00021467549799530252	0.99770206	27.17452812	0.93702353	0.04228741197672402	0.0355093	0.01761
-0.0024	0.0136	0.0395	0.00024609142453120044	0.0001064650843716541	0.0002373647782712288	0.97800857	26.638134	0.93489114	0.0551409035395586	0.0361619	0.01752
0.0039	0.0101	0.0421	-0.00043458698374658803	0.00020769418098732522	0.0003961897402027128	1.15212142	31.38046837	1.1335336	0.05943662334124716	0.0396553	0.02389
-0.0004	-0.0346	-0.0239	0.0005654866776461627	0.0002583087292951608	0.0005323254218582705	1.31342983	35.77404404	1.27936426	0.1743411945678072	0.0363761	0.02094
-0.0035	-0.0076	0.0035	0.0008761552845011534	0.0001186823891356144	0.0006492624817418905	1.11026394	30.24039078	1.05898769	0.08586160034490783	0.0320321	0.01217
-0.0038	0.0319	0.0315	0.0004572762640225143	0.00024085543677521747	0.0007714355293814937	1.00290501	27.31624031	0.95895313	0.10096125578789227	0.0323328	0.01255
-0.0049	0.017	0.0264	0.0003316125578789226	0.00016231562043547262	0.0007417649320975902	0.96177465	26.19596863	0.91413082	0.032793705988362	0.0331033	0.01355
-0.0034	-0.0266	0.0111	0.0006894050545377602	0.0001832595714594046	0.0005742133239061344	0.97677195	26.60445213	0.92839365	0.08771440279371126	0.0322621	0.01291
-0.0041	-0.015	0.0166	0.0008203047484373349	0.00010821041362364843	0.0005550147021341969	0.99087948	26.98870087	0.93046069	0.029057373675363415	0.0315188	0.01132
-0.0093	0.0123	0.0229	0.0002443460952792061	4.363323129985824e-05	0.0004886921905584122	1.04672492	28.50977135	0.96725195	0.07414291735288518	0.0340606	0.01413
-0.0131	0.0397	0.033	-0.00011344640137963142	2.4434609527920616e-05	0.0005410520681182421	1.09545755	29.8371067	0.98333962	0.06276754979953025	0.0350696	0.0154
-0.0148	0.0313	0.0333	-0.00016929693744344995	-1.7453292519943296e-05	0.0004991641660703782	1.05104566	28.62745476	0.94930617	0.017381317007977317	0.0344917	0.01563
-0.0055	0.0043	0.0347	1.2217304763960308e-05	0.000158824961931484	0.0007417649320975902	1.05881941	28.83918762	0.96714327	0.06771966313430247	0.0321547	0.01267
-0.0027	0.0167	0.045	0.0003159045946109737	0.00017278759594743863	0.0008203047484373349	1.04887986	28.56846428	0.94791412	0.04530948701013562	0.0305076	0.01047
-0.0029	0.0474	0.053	7.504915783575618e-05	0.0003159045946109737	0.0008883725892651138	1.03374171	28.15614319	0.95196582	0.06150201381332657	0.0320119	0.01232
0.0144	0.091	0.0252	-3.839724354387525e-05	0.0006527531402458793	0.0012147491593880533	1.06539834	29.01837921	1.02554321	0.12753357585687383	0.03565	0.01776
0.044	0.0612	-0.0769	0.0014556045961632708	0.0006597344572538566	0.0017418385934903407	1.18602264	32.30383682	1.17219607	0.26290362954087054	0.0353224	0.0185
0.0442	0.0469	-0.0551	0.0022654373690886398	0.0005585053606381855	0.0017121679962064373	1.05740762	28.80073738	1.07092462	0.08333662334124718	0.0284228	0.01009
0.0403	0.1047	0.0266	0.0011780972450961724	0.000486946861306418	0.0018570303241219666	1.10887599	30.20258522	1.0774656	0.2085880475619882	0.0303697	0.00852
