trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0203243	0.006
0.0063	-0.2487	-0.0405	0.0009948376736367678	-1.2217304763960308e-05	-0.00020594885173533088	1.50745988	42.72767639	1.82247221	0.35615019150680294	0.0239278	0.00253
0.0075	-0.1102	-0.0079	0.001129228026040331	-0.00010471975511965978	-0.000445058959258554	1.2983489	36.80060196	1.44767634	0.19560014551412433	0.0207847	0.00056
-0.0091	0.0406	0.0386	0.000921533845053006	-0.00041538836197465044	-0.00028274333882308137	1.35728407	38.47106934	1.49504013	0.24793392041388937	0.020612	0.00036
-0.003	-0.1428	-0.0108	0.0008970992355250854	-0.0002530727415391778	-0.0001239183768915974	1.36023724	38.55477524	1.49446015	0.25617875959474384	0.0201294	0.00021
-0.0127	-0.1658	-0.0507	0.0012060225131280816	-0.0003577924966588376	-4.0142572795869576e-05	1.12432134	31.86793709	1.2166333	0.0974709418409192	0.0219129	0.00027
-0.016	0.0064	0.0178	0.001129228026040331	-0.0004677482395344803	-0.00013439035240356338	1.36356831	38.649189	1.48685647	0.2580499004785544	0.0215347	0.00033
-0.019	0.0698	0.0164	0.0012374384396639797	-0.00046949356878647465	-2.268928027592628e-05	1.22119284	34.61367798	1.31614194	0.07888284075016401	0.0242636	0.00057
-0.021	-0.1277	-0.0344	0.001324704902263696	-0.00034033920413889426	-2.6179938779914945e-05	1.38482237	39.25161743	1.49842966	0.2612955742875643	0.0228983	0.00044
-0.0194	-0.1269	-0.0426	0.0015760323145508795	-0.0004747295565424576	-0.0001064650843716541	1.10265124	31.25371552	1.19104751	0.0339001455141243	0.0235146	0.00045
-0.0302	-0.0058	-0.0006	0.0014189526818713899	-0.000731292956585624	-0.00023911010752322313	1.20434844	34.1362381	1.32927869	0.20121440279371128	0.0228036	0.0004
-0.0298	0.0941	0.0521	0.0006126105674500097	-0.0005654866776461627	-2.6179938779914945e-05	1.24590456	35.3141098	1.37089496	0.2122539281052075	0.022348	0.00025
-0.018	-0.1098	0.0139	0.001001818990644745	-0.00039793506945470715	-5.061454830783555e-05	1.37821651	39.06438065	1.5242564	0.2829597320457056	0.0202343	0.0003
-0.0172	-0.1386	0.0073	0.0010978120995044332	-0.00040317105721069014	-0.0001291543646475804	1.12226343	31.80960655	1.17808999	0.0451884456477708	0.020678	0.00025
-0.0182	-0.0506	0.0169	0.0009808750396208131	-0.0003106686068549907	-0.00017453292519943296	1.14956212	32.58336639	1.25415067	0.1113409035395586	0.0192342	0.00018
-0.0197	0.0509	0.0286	0.0008639379797371932	-0.0004049163864626844	-0.00012740903539558605	1.19478798	33.86525345	1.28045946	0.127615436464758	0.0205607	0.00015
-0.0091	-0.1119	-0.0118	0.0006300638599699529	-0.0001884955592153876	-6.632251157578452e-05	1.32822001	37.64727402	1.43354761	0.23936907354171688	0.0181485	4e-05
-0.0022	-0.1175	-0.0132	0.0005585053606381855	-0.00023911010752322313	-0.00011519173063162575	1.13433778	32.15184402	1.18380753	0.022452113334772206	0.0177559	9e-05
-0.0095	0.0449	0.0404	0.0003961897402027128	-0.0004747295565424576	-0.00020943951023931956	1.30101049	36.87604141	1.42538236	0.24790914245312004	0.0178672	9e-05
0.0275	0.0577	0.0266	-0.0012793263417118436	0.00012740903539558605	-6.632251157578452e-05	1.35832512	38.50057602	1.58495145	0.18463858362580676	0.0170338	0.00013
-0.0006	0.1043	0.0048	-0.009075712110370514	-3.665191429188092e-05	0.00034033920413889426	2.38243294	67.52804565	2.96459938	0.5148554217030409	0.0355952	0.01096
-0.0372	0.0465	-0.0225	-0.00318871654339364	-0.0011013027580084218	0.0002513274122871834	1.92631114	54.59965897	2.46341916	0.4737329101272563	0.0159786	0.00055
-0.0432	0.1667	0.0139	-0.0026529004630313807	-0.0009337511498169664	0.0001012290966156711	1.30135775	36.88588333	1.45480112	0.20527330021126128	0.0167233	6e-05
-0.0445	0.1525	0.032	-0.002181661564992912	-0.0009372418083209549	0.0002129301687433082	1.18537521	33.59845734	1.29486479	0.06292153143350472	0.016086	2e-05
-0.0381	-0.0287	-0.0064	-0.0019861846887695473	-0.0008255407361933179	0.0002495820830351891	1.33720458	37.90193176	1.44945719	0.24319149313214408	0.0127852	2e-05
-0.0405	-0.0441	-0.0067	-0.002064724505109292	-0.0008098327729253688	0.00026354471705114377	1.09744489	31.10614777	1.16354245	0.023510520681182423	0.0122881	2e-05
-0.052	0.1046	0.0529	-0.002579596634447619	-0.0009564404300928925	0.0002600540585471551	1.2525351	35.50204849	1.35920513	0.25304852225049196	0.0125822	2e-05
-0.0486	0.069	0.0183	-0.002701769682087222	-0.0008220500776893293	0.0003351032163829112	1.14892149	32.56520844	1.23694472	0.09018062789394611	0.0120097	0.0
-0.0502	-0.054	-0.0014	-0.0024190263432641405	-0.0009826203688728075	0.00035604716740684323	1.18938673	33.71216202	1.30353014	0.1675128790515246	0.0122156	0.0
-0.0603	0.0145	0.0099	-0.0027977627909469105	-0.0010140362954087054	0.0003961897402027128	1.13760817	32.24454117	1.24118659	0.11241474735072687	0.0125132	2e-05
-0.0551	0.174	0.0707	-0.0020420352248333657	-0.0009756390518648303	0.00023212879051524583	1.38616109	39.28956223	1.4851372	0.2734092879672443	0.0157164	4e-05
-0.0453	0.0271	0.0165	-0.001668534764906579	-0.000757472895365539	0.00015707963267948963	1.31524014	37.27936935	1.40848895	0.24423578871309168	0.0122778	0.0
-0.0509	-0.0708	-0.0146	-0.0015481070465189703	-0.0008342673824532895	8.726646259971648e-05	1.16718733	33.08293915	1.24536779	0.14795176877775662	0.0127093	0.0
-0.0606	-0.001	0.0128	-0.0015812683023068625	-0.0009756390518648303	4.886921905584123e-05	1.17013621	33.16652298	1.27175013	0.1175465084371654	0.0118383	2e-05
-0.0564	0.1595	0.0576	-0.0014451326206513049	-0.0008569566627292158	3.141592653589793e-05	1.35700393	38.46312714	1.45686215	0.22311356816555575	0.0157906	1e-05
-0.0539	-0.019	-0.0041	-0.0016318828506146981	-0.0007120943348136865	0.0001186823891356144	1.37244821	38.90088272	1.46255494	0.26364395102393196	0.01152	3e-05
-0.0523	-0.078	-0.0078	-0.0013927727430914749	-0.0007435102613495844	4.537856055185256e-05	1.10871315	31.4255352	1.20237369	0.08149149313214414	0.0131575	1e-05
-0.0532	0.0545	0.0513	-0.0012723450247038664	-0.0008395033702092724	-4.0142572795869576e-05	1.28279495	36.3597374	1.38018182	0.20759709802975093	0.0126078	4e-05
-0.053	0.1186	0.0496	-0.0013107422682477415	-0.000736528944341607	5.585053606381854e-05	1.21832097	34.53227615	1.29000507	0.07786823891356143	0.0157154	2e-05
-0.0579	-0.0738	0.0034	-0.001541125729510993	-0.0007138396640656808	0.00017278759594743863	1.40470481	39.81517029	1.47992549	0.2620004900711399	0.0126693	8e-05
-0.062	-0.069	0.0075	-0.0013805554383275148	-0.0009250245035569946	0.00016929693744344995	1.18199944	33.50277328	1.19552816	0.03176228945893903	0.0123429	3e-05
-0.0658	0.0879	0.0667	-0.001296779634231787	-0.0009773843811168245	0.00016231562043547262	1.32623613	37.59104156	1.43483914	0.2270558499331768	0.0140225	3e-05
-0.0622	0.0169	0.0142	-0.001335176877775662	-0.0007853981633974483	0.0002181661564992912	1.21526718	34.44572067	1.30835997	0.14141169986635346	0.0133166	2e-05
-0.0661	-0.0785	-0.0195	-0.0012723450247038664	-0.000757472895365539	0.00021118483949131387	1.16951644	33.1489563	1.25553995	0.13788692190558413	0.0131535	0.0
-0.0486	-0.0332	-0.0072	-0.0012339477811599909	-0.0003717551306747922	0.0002705260340591211	1.12666762	31.93444252	1.22545323	0.0992728101401215	0.0127342	1e-05
-0.0415	0.1474	0.0518	-0.0009302604913129776	-0.0004991641660703782	0.000158824961931484	1.38958383	39.38657761	1.48772789	0.2738398698685118	0.0179103	5e-05
-0.04	0.0055	-0.0034	-0.0011536626355682519	-0.00039793506945470715	0.0002478367537831948	1.30074692	36.86857224	1.39769045	0.2192821516361328	0.0131999	3e-05
-0.0398	-0.0791	-0.0151	-0.001239183768915974	-0.0004572762640225143	0.000317649923862968	1.13189971	32.08274078	1.22458833	0.10723377489976514	0.013335	1e-05
-0.04	0.0159	0.0258	-0.001965240737745615	-0.00043458698374658803	0.0003438298626428829	1.1934768	33.82809067	1.31457455	0.17484630939427415	0.0121854	0.0
-0.0389	0.1593	0.0641	-0.0016004669240788003	-0.00046949356878647465	0.00026354471705114377	1.34559667	38.13980103	1.43571906	0.20679827721492203	0.0160019	4e-05
-0.0327	-0.0318	0.0212	-0.0017086773377024485	-0.00040666171571467877	0.00028623399732707005	1.37835217	39.06822586	1.48940011	0.24988657734856848	0.0110515	2e-05
-0.017	0.0689	0.075	-0.0070912727508529606	-0.0001832595714594046	0.0005131268000863328	1.84718275	52.35683441	2.31863148	0.4618445180082525	0.0251644	0.00358
-0.0411	0.1588	0.0779	-0.0033318335420571745	-0.0007225663103256524	0.00048520153205442357	1.79069996	50.75587463	2.20089812	0.3332335607846972	0.0147529	8e-05
-0.0491	0.1651	0.0365	-0.0025062928058638572	-0.0008011061266653974	0.00035430183815484887	1.21548331	34.45184708	1.32429602	0.10744901232163184	0.0151104	5e-05
-0.0488	-0.0119	0.0166	-0.0027331856086231197	-0.0007976154681614085	0.0003316125578789226	1.38304961	39.20137024	1.45220697	0.2098536370769589	0.0108577	4e-05
-0.053	-0.0083	0.0143	-0.002686061718819273	-0.000804596785169386	0.0004258603374866164	1.12809181	31.97480774	1.18505643	0.017517649320975888	0.0110701	1e-05
-0.0529	0.1559	0.074	-0.0026790804018112955	-0.0008604473212332044	0.00034906585039886593	1.33880424	37.94727325	1.42037533	0.23098131700797733	0.0138476	1e-05
-0.0449	0.0987	0.0466	-0.002617993877991494	-0.0006318091892219474	0.0004485496177625427	1.19229186	33.79450607	1.27582426	0.11206042115973676	0.012449	1e-05
-0.049	-0.0468	0.0293	-0.0027611108766550296	-0.0006073745796940267	0.0004991641660703782	1.25546026	35.58496094	1.35627026	0.1778083078249646	0.0108565	4e-05
-0.0572	-0.0011	0.0334	-0.002949606435870417	-0.0007557275661135446	0.0004625122517784973	1.11887169	31.71347237	1.20135955	0.07667502299633931	0.0108558	2e-05
-0.0492	0.1459	0.0922	-0.002886774582798621	-0.0006894050545377602	0.0004485496177625427	1.29359818	36.66594696	1.37944397	0.22095584993317677	0.013247	1e-05
-0.063	0.0914	0.0495	-0.003309144261781249	-0.0008080874436733745	0.0006230825429619757	1.21236575	34.36348343	1.32883851	0.14677924966588377	0.0131553	3e-05
-0.0602	-0.0202	0.0208	-0.0031764992386296795	-0.0008115781021773631	0.0004886921905584122	1.20962429	34.28577805	1.31235881	0.15662630170295608	0.0114654	3e-05
-0.0995	0.0172	-0.0718	-0.0028728119487826664	-0.0014416419621473165	0.0009197885158010115	1.36305833	38.63473511	1.61052799	0.2375423737529783	0.0203997	0.00023
